theta_deg,F_norm,D_ratio,D_dB
0.000000,0.000000,0.000000,-100.000000
0.500000,-0.013943,0.000472,-33.262722
1.000000,-0.027884,0.001887,-27.242666
1.500000,-0.041821,0.004244,-23.721750
2.000000,-0.055753,0.007544,-21.224251
2.500000,-0.069678,0.011782,-19.287697
3.000000,-0.083595,0.016959,-17.706093
3.500000,-0.097500,0.023070,-16.369560
4.000000,-0.111393,0.030113,-15.212510
4.500000,-0.125271,0.038083,-14.192644
5.000000,-0.139133,0.046978,-13.281081
5.500000,-0.152976,0.056791,-12.457228
6.000000,-0.166797,0.067517,-11.705881
6.500000,-0.180596,0.079150,-11.015498
7.000000,-0.194369,0.091683,-10.377112
7.500000,-0.208115,0.105109,-9.783616
8.000000,-0.221829,0.119418,-9.229286
8.500000,-0.235511,0.134603,-8.709444
9.000000,-0.249157,0.150653,-8.220218
9.500000,-0.262763,0.167557,-7.758368
10.000000,-0.276328,0.185304,-7.321157
10.500000,-0.289848,0.203880,-6.906252
11.000000,-0.303320,0.223272,-6.511652
11.500000,-0.316739,0.243466,-6.135624
12.000000,-0.330104,0.264444,-5.776661
12.500000,-0.343409,0.286191,-5.433445
13.000000,-0.356650,0.308687,-5.104818
13.500000,-0.369825,0.331913,-4.789754
14.000000,-0.382927,0.355849,-4.487345
14.500000,-0.395954,0.380471,-4.196783
15.000000,-0.408899,0.405756,-3.917345
15.500000,-0.421759,0.431680,-3.648384
16.000000,-0.434528,0.458214,-3.389317
16.500000,-0.447201,0.485331,-3.139621
17.000000,-0.459772,0.513000,-2.898823
17.500000,-0.472236,0.541191,-2.666493
18.000000,-0.484586,0.569869,-2.442246
18.500000,-0.496818,0.599000,-2.225729
19.000000,-0.508923,0.628547,-2.016622
19.500000,-0.520897,0.658471,-1.814636
20.000000,-0.532731,0.688731,-1.619507
20.500000,-0.544420,0.719285,-1.430993
21.000000,-0.555955,0.750088,-1.248877
21.500000,-0.567330,0.781095,-1.072959
22.000000,-0.578536,0.812258,-0.903060
22.500000,-0.589566,0.843526,-0.739014
23.000000,-0.600412,0.874848,-0.580673
23.500000,-0.611066,0.906170,-0.427903
24.000000,-0.621519,0.937436,-0.280582
24.500000,-0.631762,0.968590,-0.138600
25.000000,-0.641786,0.999572,-0.001859
25.500000,-0.651583,1.030321,0.129727
26.000000,-0.661143,1.060776,0.256236
26.500000,-0.670456,1.090872,0.377736
27.000000,-0.679513,1.120543,0.494286
27.500000,-0.688304,1.149724,0.605937
28.000000,-0.696819,1.178347,0.712730
28.500000,-0.705048,1.206341,0.814702
29.000000,-0.712980,1.233638,0.911879
29.500000,-0.720605,1.260167,1.004281
30.000000,-0.727913,1.285856,1.091922
30.500000,-0.734893,1.310633,1.174809
31.000000,-0.741533,1.334425,1.252943
31.500000,-0.747824,1.357162,1.326316
32.000000,-0.753753,1.378769,1.394916
32.500000,-0.759311,1.399177,1.458726
33.000000,-0.764486,1.418312,1.517719
33.500000,-0.769266,1.436106,1.571865
34.000000,-0.773641,1.452489,1.621128
34.500000,-0.777600,1.467392,1.665462
35.000000,-0.781132,1.480751,1.704820
35.500000,-0.784225,1.492500,1.739144
36.000000,-0.786868,1.502579,1.768373
36.500000,-0.789051,1.510927,1.792436
